local,preco,perfis_imoveis,area,mais_de_1_dormitorio,mais_de_1_banheiro,mais_de_1_vaga_garagem,renda,anos_estudo,mortalidade_infantil,taxa_crescimento,taxa_mortalidade,densidade_populacional,populacao,numero_domicilios,taxa_urbanizacao
Lapa,248000,alto_valor,109,NA,NA,sim,2462,8.4,10.03,-1.37,13.82,5705.3,NA,NA,100
Butantã,322000,alto_valor,141,sim,sim,sim,2311,8.4,6.85,-0.95,NA,4058.96,50737,15398,100
Saúde,326000,alto_valor,142,sim,sim,sim,2782,8.3,5.18,-0.5,NA,13011.91,115806,37652,100
Vila Mariana,338000,alto_valor,158,sim,sim,sim,3312,8.6,NA,-0.76,10.74,13960.93,120064,42027,100
Santana de Parnaíba,264000,alto_valor,144,sim,sim,sim,5167.14,6.9,7.23,5.82,40.86,529.74,93234,18598,100
Campo Belo,352000,alto_valor,184,sim,sim,sim,3850,8.6,11.84,-1.37,32.78,7177.5,63162,20373,100
Morumbi,516000,alto_valor,215,sim,nao,sim,5146,7.4,NA,-1.3,66.03,2883.77,32875,10012,100
Consolação,718000,alto_valor,210,sim,nao,sim,3117,8.8,3.72,-1.68,11.55,13796.22,51046,22504,100
Perdizes,552000,alto_valor,236,sim,nao,sim,3456,8.7,5.67,-0.44,6.92,16513.61,100733,34077,100
Pinheiros,590000,alto_valor,NA,sim,nao,sim,NA,8.3,11.7,-1.84,15.06,7327.88,58623,24044,100
Itaim Bibi,590000,alto_valor,214,sim,nao,NA,3278,8.8,7.85,-2.23,11.79,7538.38,74630,31168,100
Santo Amaro,390000,alto_valor,158,sim,NA,sim,3898,9.2,9.82,-1.84,24.38,NA,56336,19670,100
Jardim Paulista,738000,alto_valor,314,sim,nao,nao,4318,8.7,8.45,-1.75,7.54,12808.69,78133,NA,100
Alto de Pinheiros,624000,alto_valor,298,NA,nao,nao,4180,8.4,2.72,-1.15,6.97,5520.65,42509,12886,100
Moema,698000,alto_valor,NA,sim,nao,nao,4504,8.6,NA,-0.84,2.87,7665.33,68988,26273,100
